0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:21 +0900] "GET /images/icon/bullet_dot_01.gif HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:27 +0900] "GET /semiProject/product/insert.jsp HTTP/1.1" 200 5515
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:27 +0900] "GET /semiProject/product/id HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:29 +0900] "GET /semiProject/cart/cartList.jsp HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:29 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=10&order=product_code&desc= HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:30 +0900] "GET /semiProject/order/insert.jsp HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:35 +0900] "GET /semiProject/cart/cartList.jsp HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:35 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=10&order=product_code&desc= HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:37 +0900] "GET /semiProject/product/insert.jsp HTTP/1.1" 200 5515
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:37 +0900] "GET /semiProject/product/id HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:38 +0900] "GET /semiProject/cart/cartList.jsp HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:39 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=10&order=product_code&desc= HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:58:40 +0900] "GET /semiProject/order/insert.jsp HTTP/1.1" 200 5612
